	budget	popularity	revenue	runtime	vote_count	char1	directer
680	62000000	18.096884	127666415	116	340	Matthew McConaughey	Jonathan Mostow
682	62000000	13.218008	41819064	87	242	Mike Myers	Marco Schnabel
684	44000000	68.717016	155760117	167	4274	Samuel L. Jackson	Quentin Tarantino
686	63000000	16.791058	183953723	95	331	Russell Brand	Tim Hill
687	65000000	65.197968	422610419	117	4997	Gerard Butler	Zack Snyder
688	80000000	32.829538	516642939	115	1373	Ben Stiller	Jay Roach
689	60000000	30.951203	244082376	115	1343	Owen Wilson	David Frankel
690	60000000	103.698022	284600000	189	4048	Tom Hanks	Frank Darabont
691	0	31.719463	253625427	100	648	Tim Allen	Walt Becker
692	150000000	47.973995	314432665	81	944	Zach Braff	Mark Dindal
693	61000000	143.041543	369330363	145	5862	Ben Affleck	David Fincher
694	60000000	86.476817	214034224	119	3583	Matt Damon	Doug Liman
695	58000000	59.824565	352194034	130	1174	Pierce Brosnan	Martin Campbell
700	61000000	42.881415	131940411	109	1589	Denzel Washington	Baltasar Korm?kur
701	60000000	18.735024	93375151	87	352	Jeff Goldblum	Lawrence Guterman
702	60000000	62.766854	176070171	110	1919	Mark Wahlberg	F. Gary Gray
705	70000000	26.676487	171844840	113	588	Vince Vaughn	Peter Billingsley
708	61000000	113.161483	311256926	132	3040	Dylan O'Brien	Wes Ball
709	60000000	28.800112	204594016	133	636	Julia Roberts	Ryan Murphy
715	60000000	37.537093	165333180	92	779	Dwayne Johnson	Chuck Russell
717	60000000	56.868399	218340595	130	2998	Tom Cruise	Christopher McQuarrie
719	60000000	15.798622	0	111	247	Michael Jackson	Kenny Ortega
720	60000000	38.820858	137551594	106	1325	Matt Damon	Steven Soderbergh
722	60000000	51.146047	124596398	100	1386	Dakota Fanning	Henry Selick
723	60000000	20.501582	163403799	91	950	Mark Wahlberg	M. Night Shyamalan
725	50000000	4.280619	61112916	98	137	Tim Allen	Brian Robbins
728	66000000	47.479755	99318987	122	2225	Ron Perlman	Guillermo del Toro
730	60000000	39.539045	107139399	90	789	Kodi Smit-McPhee	Sam Fell
734	60000000	16.493576	50877145	93	258	Matthew Broderick	Robert Stevenhagen
739	60000000	61.849521	205754447	99	1621	Gerard Butler	Babak Najafi
741	61000000	37.378081	95696996	124	1462	Mark Wahlberg	Antoine Fuqua
744	60000000	59.547928	469160692	100	3070	Chris Pratt	Phil Lord
747	60000000	29.041198	105200903	113	1778	Josh Brolin	Ruben Fleischer
749	60000000	23.85119	122233971	134	1125	Morgan Freeman	Clint Eastwood
750	60000000	21.685719	87784194	127	484	Russell Crowe	Kevin Macdonald
751	78146652	13.630049	60000000	125	201	Clive Owen	Tony Gilroy
754	70000000	23.661071	104945765	91	556	Dwayne Johnson	Jorge Blanco
757	0	18.587114	0	111	366	Clint Eastwood	Robert Lorenz
761	60000000	18.380176	73174566	101	375	Robert De Niro	Jon Avnet
763	60000000	17.299333	31720158	109	234	Robert Downey Jr.	Joe Wright
767	60000000	36.689223	71073932	101	549	Ice Cube	Lee Tamahori
768	60000000	28.350927	78309131	87	692	Paul Bettany	Scott Stewart
776	60000000	22.736038	30800231	118	487	Colin Farrell	Akiva Goldsman
777	60000000	45.514031	90565421	130	1602	Lily Collins	Harald Zwart
778	60000000	18.676291	50650079	90	371	Eddie Murphy	Brian Robbins
781	60000000	27.018886	57490374	106	592	Brendan Fraser	Iain Softley
782	60000000	14.84856	39031337	103	320	Gabriel Macht	Frank Miller
783	60000000	52.417529	30418560	106	1055	Johnny Depp	David Koepp
784	60000000	15.406173	0	127	224	Jason Statham	Uwe Boll
788	58000000	514.569956	783112979	108	10995	Ryan Reynolds	Tim Miller
790	58800000	87.53437	542307423	133	4469	Bradley Cooper	Clint Eastwood
791	58000000	45.351617	158162788	103	995	Jack Black	Rob Letterman
793	83000000	6.248309	59468275	90	134	Mark Addy	Brian Levant
795	58000000	7.739276	41299492	114	130	George Clooney	George Clooney
798	58000000	1.551497	44000000	119	1658	Owen Wilson	Shawn Levy
799	60000000	2.143764	300228084	97	1363	Milla Jovovich	Paul W.S. Anderson
800	58000000	12.29603	50365377	125	178	Bryan Cranston	Anthony Hemingway
802	70000000	21.723897	58058367	116	453	Adam Sandler	Sean Anders
804	60000000	14.113066	61347797	97	226	Pierce Brosnan	Brett Ratner
805	57000000	48.622278	149217355	95	1135	Nicolas Cage	Brian Taylor
807	56000000	35.4763	113006880	95	842	Vin Diesel	Adam Shankman
810	60000000	47.336034	361366633	92	1177	Jason Lee	Tim Hill
818	55000000	52.786917	95000000	134	2454	Tom Hanks	Paul Greengrass
819	55000000	38.06168	152263880	97	1122	Tina Fey	Shawn Levy
828	30000000	79.754966	180949000	111	4949	Uma Thurman	Quentin Tarantino
836	55000000	17.097041	127906624	104	461	Jackie Chan	Rob Minkoff
839	55000000	7.027139	141047179	134	120	Madonna	Alan Parker
842	55000000	39.882276	259207227	95	883	Nicole Kidman	Paul King
847	0	10.449975	33472850	91	251	Will Ferrell	Kent Alterman
849	55000000	27.50916	113020255	141	1131	Angelina Jolie	Clint Eastwood
857	55000000	12.340384	0	107	134	Eddie Murphy	Karey Kirkpatrick
860	55000000	22.863516	89519773	119	573	Cher	Steve Antin
864	54000000	67.169587	155010032	117	1528	Wesley Snipes	Guillermo del Toro
865	55000000	41.472404	168167691	123	2039	Will Smith	Gabriele Muccino
867	54000000	59.194915	136766062	162	1546	Al Pacino	Francis Ford Coppola
869	54000000	18.600367	130431368	108	407	Kate Hudson	Anthony Russo
871	54000000	9.053456	7266209	121	104	Ben Affleck	Martin Brest
872	55000000	7.768223	9450897	125	95	Sean Penn	Steven Zaillian
882	0	6.162872	5761917	124	81	Eric Bana	Curtis Hanson
883	52000000	73.944049	352114312	141	3795	Leonardo DiCaprio	Steven Spielberg
884	40000000	38.306954	132820716	157	1702	Jessica Chastain	Kathryn Bigelow
885	52000000	26.251217	204999686	106	832	Vince Vaughn	Peyton Reed
887	52000000	25.41929	216485654	125	1013	Jessica Alba	Garry Marshall
888	50000000	15.98212	110803676	104	316	Johnny Knoxville	Jay Chandrasekhar
890	52000000	32.015477	75450437	112	736	Olivia Wilde	David Dobkin
891	82000000	24.444186	47434430	118	435	Jim Carrey	Milo? Forman
893	52000000	27.916284	52826594	92	675	John Travolta	Pierre Morel
898	50000000	94.815867	709827462	130	2436	Kristen Stewart	Chris Weitz
899	60000000	67.298732	484409218	90	4056	Mike Myers	Andrew Adamson
900	50200000	26.60772	127869379	106	1652	Matt Damon	George Nolfi
903	50000000	68.87691	549368315	106	4697	Mark Wahlberg	Seth MacFarlane
908	50000000	37.069253	260095987	112	2435	Joel Courtney	J.J. Abrams
909	52000000	30.347332	256271286	131	716	Julia Roberts	Steven Soderbergh
911	50000000	52.380982	188441614	112	3319	Jonah Hill	Phil Lord
914	50000000	45.318703	216972543	107	1650	Dwayne Johnson	Rawson Marshall Thurber
916	50000000	38.616744	242786137	96	854	Will Ferrell	Sean Anders
917	50000000	65.90161	212902372	125	1652	Meryl Streep	Rob Marshall
918	45000000	45.220386	184376254	129	1630	Denzel Washington	Spike Lee
921	50000000	38.629763	120081841	124	909	Matt Damon	Cameron Crowe
922	50000000	32.693093	155446362	121	1486	Nicolas Cage	Alex Proyas
925	50000000	37.990705	142851197	118	2443	Steve Carell	Glenn Ficarra
928	50000000	46.180421	110206216	133	1381	Brad Pitt	Bennett Miller
932	54000000	84.630969	132511035	132	4442	Natalie Portman	James McTeigue
937	50000000	53.02787	224803475	88	3239	Jeremy Renner	Tommy Wirkola
939	50000000	43.450266	144492830	109	1567	Alex Pettyfer	D.J. Caruso
940	50000000	16.871194	94000000	128	451	George Clooney	Stephen Gaghan
941	50000000	42.526529	69411370	144	938	James Badge Dale	Michael Bay
947	50000000	32.927994	97607453	125	1067	Radha Mitchell	Christophe Gans
949	50000000	39.920035	234989584	113	1611	Jason Biggs	Jon Hurwitz
954	50000000	42.472324	83719388	141	1417	Robert Duvall	David Dobkin
960	50000000	12.31101	69425966	92	269	Taylor Lautner	Robert Rodriguez
963	40000000	19.085403	60462347	99	371	Rain	James McTeigue
966	50000000	12.25622	83761844	87	149	Owen Wilson	Tom Dey
967	50000000	13.365715	105197635	129	510	Matt Damon	Clint Eastwood
970	50000000	6.567065	82169884	121	654	Gaspard Ulliel	Peter Webber
975	50000000	13.391833	60161391	118	368	Clive Owen	Tom Tykwer
976	50000000	21.637234	42277365	97	373	Kurt Russell	John Carpenter
977	70000000	61.245957	23159305	86	1436	Eli Marienthal	Brad Bird
979	50000000	21.589393	25035950	139	428	Matthew McConaughey	Gary Ross
983	51500000	35.481169	55112356	100	848	Naomi Watts	David Cronenberg
986	49900000	21.408222	26121638	102	501	Danny McBride	David Gordon Green
991	22000000	12.54949	24188922	108	235	Naomi Watts	Doug Liman
994	50000000	27.631262	40828540	95	760	Gerard Butler	Brian Taylor
997	50000000	37.253774	55969000	100	797	Ben Stiller	Ben Stiller
1000	50000000	30.387148	28931401	105	600	Nicolas Cage	Patrick Lussier
1004	50000000	31.02233	36348784	116	666	Tom Sturridge	Richard Curtis
1006	48000000	80.972475	474171806	127	3152	Harrison Ford	Steven Spielberg
1008	49000000	116.700319	104399548	120	3062	Sharlto Copley	Neill Blomkamp
1015	48000000	30.920075	50315140	120	695	Jeff Bridges	Iain Softley
1019	55000000	48.801089	70016220	122	1188	Russell Crowe	James Mangold
1020	48000000	88.844777	325771424	109	2200	Liam Neeson	Olivier Megaton
1029	47000000	10.410933	38085778	75	104	George Carlin	Yvette Kaplan
1034	46000000	25.6713	150000000	111	661	Patrick Stewart	Jonathan Frakes
1035	47000000	22.581313	10539000	80	420	Josh Brolin	Jimmy Hayward
1038	25000000	24.672234	15436808	127	573	Bryan Cranston	Brad Furman
1048	45000000	31.305336	175372502	97	1111	Jack Nicholson	Rob Reiner
1051	46000000	88.496873	122126687	153	3085	Hugh Jackman	Denis Villeneuve
1055	45000000	17.047276	165184237	103	501	Amy Adams	James Bobin
1056	45000000	43.815492	131183530	120	1905	Wesley Snipes	Stephen Norrington
1061	40000000	37.073127	244931766	135	1869	Keira Knightley	Richard Curtis
1062	120000000	87.350802	363258859	95	2303	Kevin Spacey	Andrew Stanton
1070	45000000	12.06538	148412065	94	1292	Milla Jovovich	Russell Mulcahy
1075	45000000	31.856589	82966152	131	766	Blake Lively	Oliver Stone
1076	25000000	24.459948	56422687	94	537	Chris Evans	David R. Ellis
1078	50000000	20.239061	55181129	88	366	Julia Roberts	John A. Davis
1080	0	11.872841	0	133	410	Evan Rachel Wood	Julie Taymor
1083	70000000	27.568194	72108608	101	676	Vin Diesel	Mathieu Kassovitz
1086	45000000	13.707183	57881056	86	244	Carter Jenkins	John Schultz
1090	57000000	7.524671	0	117	60	Matt Damon	Billy Bob Thornton
1095	110	9.950505	0	114	203	Chow Yun-fat	Zhang Yimou
1096	45000000	14.813057	42487390	99	332	Nicolas Cage	Danny Pang
1098	45000000	5.361699	4607608	139	81	Javier Bardem	Mike Newell
1100	45000000	35.6585	160078586	101	1007	Rowan Atkinson	Oliver Parker
1101	65000000	5.258726	73706	87	28	Charlie Sheen	Lawrence Kasanoff
1102	44500000	62.01056	232324128	120	3423	Ben Affleck	Ben Affleck
1104	40000000	33.747825	136000000	110	858	Gerard Butler	Andy Tennant
1110	50000000	49.020045	111340801	106	1528	Kate Beckinsale	Len Wiseman
1111	40000000	24.821138	34227298	109	685	James McAvoy	Paul McGuigan
1114	45000000	25.999888	50871113	103	518	Jet Li	Louis Leterrier
1115	43000000	18.65632	68696770	84	280	Cameron Diaz	Roger Kumble
1118	40000000	44.094856	51070807	93	1045	Jason Statham	Simon West
1119	42000000	62.714026	201585328	109	4074	Channing Tatum	Phil Lord
1120	42000000	28.969151	363889678	124	1262	Julia Roberts	Roger Michell
1122	42000000	33.238296	171963386	90	773	Ben Stiller	John Hamburg
1131	32000000	28.22119	156167015	133	541	Timothy Dalton	John Glen
1132	42000000	45.151657	89162162	100	922	Amanda Seyfried	Catherine Hardwicke
1137	40000000	19.438503	36893721	91	388	Katherine Heigl	Julie Anne Robinson
1139	42000000	7.349497	11087569	100	136	Kate Bosworth	Sngmoo Lee
1141	41000000	32.798571	215000000	110	1626	Eminem	Curtis Hanson
1142	0	5.794466	0	100	125	Jamel Debbouze	Jamel Debbouze
1146	42000000	34.041407	46221189	102	925	Sam Worthington	Asger Leth
1149	40000000	49.664128	251171807	138	2807	Christian Bale	David O. Russell
1150	40000000	36.238968	317375031	108	1804	Sandra Bullock	Anne Fletcher
1152	40000000	43.345252	332000000	108	3829	Michael J. Fox	Robert Zemeckis
1153	40000000	115.241998	126546825	89	5878	Scarlett Johansson	Luc Besson
1154	40000000	98.755657	571006128	125	3254	Dakota Johnson	Sam Taylor-Johnson
1158	40000000	37.084384	149295601	121	1526	Mark Wahlberg	Peter Berg
1160	40000000	68.794673	320170008	134	1949	Patrick Wilson	James Wan
1161	40000000	69.27822	224920315	120	3391	Jesse Eisenberg	David Fincher
1162	40000000	26.253357	177259441	129	959	Ben Affleck	Ken Kwapis
1165	40000000	45.769562	244527583	118	2900	Michael J. Fox	Robert Zemeckis
1168	40000000	22.853006	129540499	123	560	Meryl Streep	Nora Ephron
1170	40000000	31.385257	128798265	139	767	Matt Damon	Anthony Minghella
1173	35000000	53.114573	194564672	121	1881	Robert De Niro	Nancy Meyers
1174	40000000	25.136082	124827316	102	555	Kevin Hart	Tim Story
1177	40000000	66.003433	158733820	124	2691	Jessica Alba	Robert Rodriguez
1178	40000000	24.862767	151161491	90	716	Dennis Quaid	Pete Travis
1179	41000000	25.391899	91636986	105	515	Paul Rudd	John Hamburg
1184	20000000	52.571674	136267476	102	1350	Zac Efron	Burr Steers
1186	40000000	32.478077	186167139	82	831	Bobby Campo	David R. Ellis
1189	40000000	17.869443	90029656	109	612	Jonah Hill	Nicholas Stoller
1190	50000000	14.231899	170128460	107	297	Richard Gere	Peter Chelsom
1194	40000000	26.072228	85412898	119	902	Matthew McConaughey	Brad Furman
1195	30000000	38.643914	130786397	113	1265	Liam Neeson	Jaume Collet-Serra
1196	40000000	74.440708	109676311	130	4391	Hugh Jackman	Christopher Nolan
1198	40000000	18.14218	74597643	89	332	Brendan Fraser	Callan Brunker
1200	40000000	23.331459	191185897	130	440	Timothy Dalton	John Glen
1204	40000000	29.88736	114830111	99	670	Keanu Reeves	Alejandro Agresti
1206	0	16.394452	51854875	105	386	Jennifer Garner	Peter Hedges
1210	40000000	27.303608	141591324	98	629	Halle Berry	Mathieu Kassovitz
1213	40000000	39.381913	41797066	94	740	Steven Pasquale	Colin Strause
1217	40000000	43.151268	97552050	104	1789	Seth Rogen	Greg Mottola
1219	40000000	35.21926	97138686	111	902	David Arquette	Wes Craven
1224	47000000	38.555482	157887643	92	866	Emma Bell	Steven Quale
1228	40000000	15.055732	0	102	275	Owen Wilson	Steven Brill
1231	40000000	31.066874	55247881	129	708	Thomas Horn	Stephen Daldry
1232	40000000	22.491388	58785180	102	412	Rachel McAdams	Roger Michell
1235	40000000	10.433667	31670620	135	155	Anthony Rapp	Chris Columbus
1242	40000000	13.445697	62771059	99	205	Hilary Swank	Stephen Hopkins
1245	40000000	33.785969	60965854	108	824	Zoe Saldana	Olivier Megaton
1252	40000000	22.364549	60474340	123	642	Kirsten Dunst	Sofia Coppola
1257	40000000	41.258956	46471023	87	1176	George Clooney	Wes Anderson
1259	40000000	7.222985	14358033	99	125	Chevy Chase	John Carpenter
1260	10000000	73.720244	173921954	122	3310	Audrey Tautou	Jean-Pierre Jeunet
1263	40000000	8.303696	24719215	107	152	Drew Barrymore	Ken Kwapis
1271	33000000	28.353517	20645327	108	774	Ben Foster	Christian Alvart
1276	40000000	13.119133	22044277	91	373	Eddie Murphy	Brian Robbins
1280	20000000	31.690456	117760134	105	1006	Shia LaBeouf	D.J. Caruso
1282	0	8.048305	0	101	96	Richard Gere	Richard Shepard
1286	39200000	64.238688	86758912	126	2854	Chris Evans	Bong Joon-ho
1292	0	18.678415	69485490	102	191	Diane Keaton	Michael Lehmann
1293	39000000	27.908783	35287788	87	932	Charlie Tahan	Tim Burton
1298	80341000	14.8375	127814609	150	205	Chang Chen	John Woo
1300	38000000	22.332927	205298907	96	972	Katherine Heigl	Robert Luketic
1305	38000000	16.801218	114156230	120	850	Robert Pattinson	Francis Lawrence
1308	38000000	11.500783	51801187	114	264	Jennifer Lopez	Michael Apted
1311	53000000	6.454634	29700000	102	88	Jennifer Lopez	Luis Mandoki
1316	10000000	18.664624	47536959	110	417	Gabourey Sidibe	Lee Daniels
1318	15000000	52.731379	19629760	109	1588	Kurt Russell	John Carpenter
1319	38000000	46.630062	98337295	119	2035	Vin Diesel	David Twohy
1322	55000000	23.465539	17869048	90	605	Saoirse Ronan	Gil Kenan
1326	38000000	57.889964	109906372	112	1945	Chlo� Grace Moretz	J Blakeson
1327	37000000	57.773583	173567581	133	1915	Michael B. Jordan	Ryan Coogler
1328	37000000	24.218358	154026136	125	1468	Ben Affleck	Ben Affleck
1329	40000000	27.009723	79700000	110	594	Cameron Diaz	Kirk Jones
1333	37000000	30.993736	48451803	188	825	Julianne Moore	Paul Thomas Anderson
1334	30000000	25.825771	55583804	107	511	Bruce Willis	Kevin Smith
1335	38000000	46.078371	112343513	110	1201	Dakota Johnson	Christian Ditter
1336	37000000	6.63839	95404397	113	163	Morgan Freeman	Charles Martin Smith
1337	37000000	127.084938	392616625	122	3561	Kristen Stewart	Catherine Hardwicke
1340	37000000	100.348805	269994119	110	2972	Jason Sudeikis	Rawson Marshall Thurber
1343	36000000	23.380757	160000000	134	338	Sean Connery	Irvin Kershner
1344	36000000	33.926473	64572262	101	894	John Cusack	Steve Pink
1345	36000000	6.967857	52424533	107	96	Morgan Freeman	Charles Martin Smith
1347	36000000	19.854932	44350926	109	258	Vin Diesel	F. Gary Gray
1351	37000000	11.492474	96047633	114	556	Anthony Hopkins	Mikael H?fstr?m
1354	37000000	6.293217	63800345	81	99	Andy Samberg	Kirk De Micco
1356	35000000	82.21166	459270619	100	6173	Bradley Cooper	Todd Phillips
1362	29000000	25.767395	309208309	129	1597	Sandra Bullock	John Lee Hancock
1364	35000000	50.309843	117000000	98	2277	Jennifer Aniston	Seth Gordon
1365	38000000	49.292384	252276927	110	1668	Jeff Bridges	Joel Coen
1366	35000000	83.893257	326551094	109	3088	Meryl Streep	David Frankel
1368	35000000	34.005726	173965010	111	1645	Jason Bateman	Seth Gordon
1370	35000000	45.149948	69823199	123	1375	Jim Sturgess	Robert Luketic
1375	35000000	11.041659	86369815	100	550	Michael Angarano	Mike Mitchell
1381	35000000	9.525037	60251371	123	103	Diane Lane	Randall Wallace
1384	35000000	40.526587	150483765	109	2237	Justin Timberlake	Will Gluck
1385	35000000	50.179171	108758521	91	1462	Seth Rogen	Nicholas Stoller
1388	35000000	38.429648	88058786	134	896	Paul Rudd	Judd Apatow
1389	35000000	13.707843	92219310	88	210	Robin Williams	Walt Becker
1391	35000000	14.503568	69307224	91	253	Robin Williams	Ken Kwapis
1395	33000000	40.715623	102984862	100	2065	Milla Jovovich	Paul W.S. Anderson
1398	35000000	25.903237	85416905	100	613	Mark Wahlberg	John Moore
1399	40000000	60.231382	173930596	109	3417	Justin Timberlake	Andrew Niccol
1400	35000000	18.38292	77477008	106	458	Jennifer Lopez	Alan Poul
1401	35000000	14.029012	59901913	112	296	Kate Hudson	Luke Greenfield
1405	35000000	50.587541	120072577	150	1864	Adrien Brody	Roman Polanski
1409	35000000	28.069419	84606030	137	741	Leonardo DiCaprio	Clint Eastwood
1413	35000000	12.677505	32483410	101	238	Diane Lane	Gregory Hoblit
1420	35000000	23.835055	93246388	109	436	Emma Thompson	Susanna White
1423	31000000	22.71592	27388767	96	437	Anne Hathaway	Tommy O'Haver
1424	35000000	35.120736	50363790	123	823	Will Smith	Peter Landesman
1425	35000000	19.893646	82087155	106	961	Taylor Lautner	John Singleton
1429	56000000	29.490057	19701164	109	593	Mark Wahlberg	Allen Hughes
1431	35000000	17.709888	31083599	91	832	Joseph Gordon-Levitt	David Koepp
1436	35000000	13.668633	39340177	92	149	Brendan Fraser	Roger Kumble
1441	35000000	10.73522	18317151	96	212	John C. Reilly	Jake Kasdan
1444	35000000	16.343317	27409889	105	322	Emily Blunt	Jean-Marc Vall�e
1445	40000000	14.818718	12206028	101	220	Kate Beckinsale	Dominic Sena
1446	32000000	43.862456	54674226	139	987	Brad Pitt	Terrence Malick
1450	20500000	17.112498	10089373	102	294	Ray Stevenson	Lexi Alexander
1452	35000000	37.335721	61181942	123	1121	Joseph Gordon-Levitt	Robert Zemeckis
1465	34000000	131.815575	348319861	113	5371	Dylan O'Brien	Wes Ball
1468	35000000	24.606012	15304890	96	827	Hugh Jackman	Darren Aronofsky
1479	50000000	12.601306	79958599	101	110	Steven Seagal	Andrzej Bartkowiak
1481	34000000	12.867326	0	85	121	Brianne Siddall	Ben Stassen
1482	30000000	23.328823	64626786	89	469	Emile Hirsch	Chris Gorak
1486	33000000	35.099611	54700105	124	766	Thomas Jane	Jonathan Hensleigh
1488	30000000	31.92695	40346186	94	799	Jason Statham	Boaz Yakin
1490	32350000	46.509071	572700000	135	4665	Mark Hamill	Richard Marquand
1493	35000000	20.908494	24159934	98	394	Paul Rudd	David Wain
1498	32000000	14.642055	80197993	92	359	Jack Black	Jared Hess
1499	32500000	17.107065	288383523	125	1661	Kristen Wiig	Paul Feig
1500	32000000	38.21708	126041322	107	2359	James Franco	Seth Rogen
1503	32000000	18.47242	69055695	107	394	Chris Brown	John Luessenhop
1505	32000000	15.901137	83615414	107	313	Martin Lawrence	John Whitesell
1506	32000000	59.19888	147332697	93	2699	Jake Gyllenhaal	Duncan Jones
1508	30000000	23.197408	77566815	101	1018	Jim Carrey	Joel Schumacher
1517	32000000	25.799697	18409891	111	620	Jude Law	Miguel Sapochnik
1523	32000000	5.347936	5914908	108	86	George Clooney	Steven Soderbergh
1525	31500000	49.973462	89460381	153	2055	Martin Sheen	Francis Ford Coppola
1526	32000000	13.611544	42045846	102	262	Drew Barrymore	Nanette Burstein
1531	34000000	29.887404	210308099	126	541	Roger Moore	Lewis Gilbert
1544	31000000	6.487344	15134293	105	89	Harrison Ford	Tom Vaughan
1545	30000000	25.996219	136706683	113	821	Denzel Washington	Boaz Yakin
1546	30000000	46.212155	199200000	134	957	Alec Baldwin	John McTiernan
1553	33000000	79.579532	327311859	127	5765	Brad Pitt	David Fincher
1554	30000000	63.13678	210819611	112	3382	Sharlto Copley	Neill Blomkamp
1557	30000000	70.456012	216763646	132	2439	Clint Eastwood	Clint Eastwood
1559	29000000	55.109138	115603229	123	3067	Rachel McAdams	Nick Cassavetes
1560	30000000	30.695228	160259319	111	978	Katherine Heigl	Anne Fletcher
1561	35000000	13.788422	155545279	102	449	Miley Cyrus	Peter Chelsom
1565	25000000	33.704181	163670000	109	1205	George Clooney	Jason Reitman
1568	30000000	46.377628	47042000	118	4697	Joseph Gordon-Levitt	Rian Johnson
1572	30000000	50.670253	105173115	111	1172	Jason Segel	Nicholas Stoller
1573	45000000	24.694551	92374674	109	607	Mark Wahlberg	John Singleton
1574	30000000	11.409124	63833449	99	205	Tina Fey	Michael McCullers
1576	30000000	33.385429	114663461	89	856	Anne Hathaway	Gary Winick
1586	30000000	27.230493	152427960	131	506	Roger Moore	John Glen
1587	30000000	30.380747	192452832	85	643	Peter Sallis	Nick Park
1591	30000000	16.52083	0	105	796	Amanda Seyfried	Gary Winick
1593	30000000	14.585968	54819301	92	140	Sean Hayes	Bobby Farrelly
1594	40000000	43.571612	117195061	77	1894	Johnny Depp	Tim Burton
1598	30000000	45.083509	90810892	99	966	Alison Lohman	Sam Raimi
1599	25000000	82.052056	65663276	112	1990	Blake Lively	Lee Toland Krieger
1601	30000000	25.060342	159291809	107	582	Rick Malambri	Jon M. Chu
1603	30000000	32.26789	53653224	113	721	Will Ferrell	Marc Forster
1604	30000000	33.394082	75505973	113	767	Josh Hartnett	David Slade
1605	30000000	73.987775	66486080	95	2263	Kristen Connolly	Drew Goddard
1606	30000000	10.608998	84646831	84	359	Sean Maguire	Jason Friedberg
1610	30000000	31.191975	63782078	111	1263	Saoirse Ronan	Joe Wright
1612	30000000	20.355458	36160375	98	359	Tom Hanks	Tom Hanks
1613	30000000	63.848541	82394288	100	1463	Chlo� Grace Moretz	Kimberly Peirce
1618	30000000	48.237797	63372757	106	1323	Jude Law	Steven Soderbergh
1620	30000000	19.143721	14460000	63	258	Jim Cummings	Stephen Anderson
1628	30000000	20.063165	108609310	108	339	Ioan Gruffudd	Alister Grierson
1630	30000000	27.71063	53909751	124	457	Jason Segel	Nicholas Stoller
1632	30000000	34.421696	51148651	133	905	Russell Crowe	Paul Haggis
1633	30000000	15.89534	31070211	87	458	Milla Jovovich	Kurt Wimmer
1638	30000000	20.236951	102820008	112	1233	Jake Gyllenhaal	Edward Zwick
1640	35000000	12.779201	25224242	126	125	Charlize Theron	Niki Caro
1642	26000000	23.227877	0	104	671	Adrien Brody	Vincenzo Natali
1644	30000000	10.703602	31148328	130	240	Edward Norton	Gavin O'Connor
1646	30000000	4.352422	15368897	96	68	Luke Wilson	Rob Reiner
1648	17000000	18.27083	24922237	106	603	Anton Yelchin	Craig Gillespie
1653	30000000	43.882857	0	107	1266	Arnold Schwarzenegger	Kim Jee-woon
1656	30000000	10.694417	13521829	86	131	Hayden Panettiere	Mike Disa
1657	30000000	6.353971	18618284	108	161	Robert Redford	Lasse Hallstr?m
1659	30000000	4.952735	8454301	134	129	Paul Giamatti	Richard J. Lewis
1660	30000000	22.975918	62616646	91	543	Ben Affleck	Brad Furman
1661	30000000	8.359599	18195610	108	153	Ryan Phillippe	Peter Howitt
1669	0	3.866026	0	98	29	Cecilia Cheung	Chen Kaige
1671	30000000	35.53352	14711793	160	776	Brad Pitt	Andrew Dominik
1672	30000000	4.065212	108348	125	41	Jackie Chan	Jackie Chan
1675	30000000	13.268936	2527904	129	286	Gerard Butler	Marc Forster
1680	30000000	2.625594	0	85	7	Maksim Chukharyov	Maksim Fadeev
1682	19000000	66.242737	140752617	83	2238	Seth Rogen	Conrad Vernon
1690	29000000	20.55509	78636257	91	431	Melissa McCarthy	Ben Falcone
1695	28000000	92.982009	504050219	90	3416	Scott Weinger	Ron Clements
1696	28000000	61.76233	201634991	147	1355	O'Shea Jackson Jr.	F. Gary Gray
1697	28000000	66.976776	333000000	118	2781	Harrison Ford	Steven Spielberg
1700	29000000	19.237254	48902953	110	392	Meryl Streep	Stephen Frears
1704	28000000	57.518472	133346506	130	2607	Christian Bale	Adam McKay
1705	0	11.870161	0	120	127	Demetri Martin	Ang Lee
1707	28000000	44.529429	102356381	101	1016	Sarah Polley	Zack Snyder
1713	28000000	26.090746	195312802	127	490	Roger Moore	John Glen
1719	28000000	15.794946	92601050	104	327	Catherine Zeta-Jones	Scott Hicks
1721	28000000	25.039383	40547440	83	531	Jesse Eisenberg	Ruben Fleischer
1723	28000000	22.14595	100654149	81	493	Steve Carell	Miguel Arteta
1724	28000000	36.58383	121147947	135	1358	Keira Knightley	Joe Wright
1725	28000000	94.056131	33139618	117	3509	Harrison Ford	Ridley Scott
1735	28000000	13.145205	14010832	98	296	Natasha Henstridge	John Carpenter
1736	28000000	12.921594	7002261	108	195	Sandra Bullock	David Gordon Green
1737	28000000	28.397048	16374328	108	640	Lily James	Burr Steers
1743	27500000	25.633663	187500000	131	527	Roger Moore	John Glen
1744	30000000	22.527211	219076518	129	1214	Seth Rogen	Judd Apatow
1745	30000000	24.09152	95714875	109	598	Cameron Diaz	Nick Cassavetes
1748	15000000	12.576381	49469904	92	235	Judi Dench	Richard Eyre
1749	27500000	12.741073	24748670	120	205	Omar Metwally	Gavin Hood
1755	0	5.753705	0	117	33	Queen Latifah	Todd Graff
